"Entity","total_economic_damages","total_people_affected"
"United Arab Emirates",0,18.8
"United Kingdom",3573718,76669.9
"United States",105329691,11388286.8
"United States Virgin Islands",121600,1000
"Upper middle income",82642030,336686746.7
"Uruguay",82800,23652
"Uzbekistan",5000,65190
"Vanuatu",45740,37548.5
"Venezuela",357850,92726.1
"Vietnam",2185657.4,5601540.1
"Wallis and Futuna",0,127.2
"World",325927096.3,605290631.6
"Yemen",181150,69049.9
"Yugoslavia",176610,0
"Zambia",2070,994236.2
"Zimbabwe",103670,2675232.4
